keeper_rank,source_rank,player,team,pos,pos_rank,pointsPpr,player_id,player_page_url,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_ecr_delta,rank_ave,rank_min,rank_max,rank_std,tier,projectionPassYds,projectionPassTds,projectionRushAtt,projectionRushYds,projectionRushTds,projectionRecRec,projectionRecYds,projectionRecTds,projectionFga,projectionFg,projectionXpt,projectionDefSack,projectionDefInt,projectionDefTd,projectionDefSafety,projectionDefFf,projectionDefFr,projectionDefRetd,source_date
90,90,RJ Harvey,DEN,RB,RB31,162.13,27142,https://www.fantasypros.com/nfl/players/rj-harvey.php,10,83,74.6,84,,95.94,65,140,15.72,7,,,107.6,406.31,3.95,45.91,341.62,3.19,,,,,,,,,,,2026-08-30
91,91,Brock Purdy,SF,QB,QB11,307.53,19797,https://www.fantasypros.com/nfl/players/brock-purdy.php,8,86,84.4,90,,96.53,63,119,10.41,7,4156.5,27.69,70.47,304.43,3.84,,,,,,,,,,,,,,2026-08-30
92,92,Jaxson Dart,NYG,QB,QB12,309.76,23160,https://www.fantasypros.com/nfl/players/jaxson-dart.php,8,92.9,93.5,93,,97.72,59,119,12.26,7,3591.43,22.26,100.92,549.14,6.49,,,,,,,,,,,,,,2026-08-30
93,93,Bo Nix,DEN,QB,QB13,298.16,22910,https://www.fantasypros.com/nfl/players/bo-nix.php,10,89.1,88.9,92,,98.52,70,125,10.04,8,3744.8,26.84,79.1,341.41,3.66,,,,,,,,,,,,,,2026-08-30
94,94,Travis Kelce,KC,TE,TE9,182.53,11594,https://www.fantasypros.com/nfl/players/travis-kelce.php,5,91.8,89.1,94,,98.56,66,139,15.07,8,,,,,,75.31,786.3,4.85,,,,,,,,,,,2026-08-30
95,95,Kenny Gainwell,TB,RB,RB32,171.55,23310,https://www.fantasypros.com/nfl/players/kenneth-gainwell.php,10,80.4,82.1,79,,99.80,67,138,14.29,8,,,116.59,512.09,4.19,49.7,351.95,2.01,,,,,,,,,,,2026-08-30
96,96,George Kittle,SF,TE,TE10,185.08,16499,https://www.fantasypros.com/nfl/players/george-kittle.php,8,90.9,90.5,96,,99.96,66,229,18.02,8,,,,,,69.43,787.57,6.21,,,,,,,,,,,2026-08-30
97,97,Alec Pierce,IND,WR,WR42,192.25,23791,https://www.fantasypros.com/nfl/players/alec-pierce.php,13,84.1,84.7,87,,100.75,62,142,19.87,8,,,,,,56.52,977.24,6.42,,,,,,,,,,,2026-08-30
98,98,Chuba Hubbard,CAR,RB,RB33,173.61,19792,https://www.fantasypros.com/nfl/players/chuba-hubbard.php,5,86.6,82.4,88,,100.87,72,146,17.61,8,,,178.18,728.88,4.95,36.42,256.35,1.8,,,,,,,,,,,2026-08-30
99,99,Stefon Diggs,WAS,WR,WR43,166.23,13981,https://www.fantasypros.com/nfl/players/stefon-diggs.php,7,81.5,75.6,86,,95.40,52,224,29.16,8,,,,,,67.03,747.14,4.15,,,,,,,,,,,2026-08-30
100,100,Patrick Mahomes II,KC,QB,QB14,303.02,16413,https://www.fantasypros.com/nfl/players/patrick-mahomes.php,5,87,85.6,88,,101.89,63,139,12.14,8,3839.61,27.13,60.35,359.66,3.42,,,,,,,,,,,,,,2026-08-30
101,101,MarShawn Lloyd,GB,RB,RB34,104.48,23118,https://www.fantasypros.com/nfl/players/marshawn-lloyd.php,11,44.3,31.8,44,,102.26,77,155,26.37,8,,,123.19,516.66,4.28,14.68,114.23,0.58,,,,,,,,,,,2026-08-30
102,102,J.K. Dobbins,DEN,RB,RB35,176.09,19245,https://www.fantasypros.com/nfl/players/jk-dobbins.php,10,83.7,81.7,89,,102.36,78,127,15.53,8,,,219.92,1027.8,6.87,19.45,104.46,0.61,,,,,,,,,,,2026-08-30
103,103,Jakobi Meyers,JAC,WR,WR44,178.7,18598,https://www.fantasypros.com/nfl/players/jakobi-meyers.php,7,71.9,80,56,,104.81,68,142,17.89,8,,,,,,68.27,787.69,5.07,,,,,,,,,,,2026-08-30
104,104,Jayden Reed,GB,WR,WR45,175.48,23020,https://www.fantasypros.com/nfl/players/jayden-reed.php,11,79.1,71.3,83,,105.10,76,137,14.35,8,,,,,,62.78,746.06,4.79,,,,,,,,,,,2026-08-30
105,105,Matthew Stafford,LAR,QB,QB15,293.96,9451,https://www.fantasypros.com/nfl/players/matthew-stafford.php,11,92,92.7,92,,105.14,70,129,12.07,8,4190.54,33.98,23.68,33.14,0.2,,,,,,,,,,,,,,2026-08-30
106,106,Jordan Addison,MIN,WR,WR46,168.88,23107,https://www.fantasypros.com/nfl/players/jordan-addison.php,6,80.6,79.9,83,,106.20,71,165,16.79,8,,,,,,55.16,758.43,5.4,,,,,,,,,,,2026-08-30
107,107,Jared Goff,DET,QB,QB16,287.79,15501,https://www.fantasypros.com/nfl/players/jared-goff.php,6,76.2,66.7,84,,106.54,63,131,9.87,8,4308.02,31.68,23.74,48.16,0.23,,,,,,,,,,,,,,2026-08-30
